,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.0040247440338134766,0,454,0
1,6,0.003952741622924805,0,454,0
2,6,0.0039904117584228516,0,454,0
3,6,0.0040171146392822266,0,454,0
4,6,0.003982067108154297,0,454,0
5,6,0.0039520263671875,0,454,0
6,4,0.003989696502685547,0,452,0
7,4,0.004023075103759766,0,452,0
8,4,0.003978252410888672,0,452,0
9,4,0.003953218460083008,0,452,0
10,6,0.006980180740356445,0,454,0
11,6,0.003987789154052734,0,454,0
12,4,0.002992391586303711,0,452,0
13,6,0.003988504409790039,0,454,0
14,6,0.0039825439453125,0,454,0
15,4,0.003989458084106445,0,452,0
16,4,0.003987550735473633,0,452,0
17,4,0.003989458084106445,0,452,0
18,4,0.003989696502685547,0,452,0
19,6,0.003989696502685547,0,454,0
20,6,0.003993034362792969,0,454,0
21,4,0.0039904117584228516,0,452,0
22,4,0.003996133804321289,0,452,0
23,6,0.003989219665527344,0,454,0
24,6,0.00399017333984375,0,454,0
25,4,0.00399017333984375,0,452,0
26,4,0.002991914749145508,0,452,0
27,4,0.003007173538208008,0,452,0
28,4,0.00299072265625,0,452,0
29,6,0.0039615631103515625,0,454,0
30,4,0.0029935836791992188,0,452,0
31,6,0.003020048141479492,0,454,0
32,6,0.002971649169921875,0,454,0
33,4,0.002991914749145508,0,452,0
34,4,0.0030279159545898438,0,452,0
35,4,0.002992391586303711,0,452,0
36,6,0.0039522647857666016,0,454,0
37,4,0.0029914379119873047,0,452,0
38,6,0.003027677536010742,0,454,0
39,6,0.003987312316894531,0,454,0
40,6,0.003954410552978516,0,454,0
41,6,0.003976583480834961,0,454,0
42,4,0.005024909973144531,0,452,0
43,6,0.004019737243652344,0,454,0
44,4,0.003990650177001953,0,452,0
45,6,0.0039882659912109375,0,454,0
46,4,0.0040264129638671875,0,452,0
47,6,0.003989696502685547,0,454,0
48,6,0.0039517879486083984,0,454,0
49,4,0.003991127014160156,0,452,0
50,6,0.0039865970611572266,0,454,0
51,4,0.003996133804321289,0,452,0
52,6,0.0039844512939453125,0,454,0
53,4,0.004026174545288086,0,452,0
54,6,0.0039904117584228516,0,454,0
55,4,0.003950357437133789,0,452,0
56,6,0.003989219665527344,0,454,0
57,6,0.003986358642578125,0,454,0
58,6,0.003988742828369141,0,454,0
59,6,0.0039827823638916016,0,454,0
60,4,0.0040264129638671875,0,452,0
61,6,0.00398707389831543,0,454,0
62,4,0.003950357437133789,0,452,0
63,4,0.003990650177001953,0,452,0
64,6,0.003998756408691406,0,454,0
65,4,0.003988504409790039,0,452,0
66,6,0.003953218460083008,0,454,0
67,6,0.002994060516357422,0,454,0
68,4,0.003026247024536133,0,452,0
69,6,0.002957582473754883,0,454,0
70,6,0.003962039947509766,0,454,0
71,4,0.004019260406494141,0,452,0
72,4,0.003988504409790039,0,452,0
73,6,0.005984306335449219,0,454,0
74,6,0.003989696502685547,0,454,0
75,4,0.004959583282470703,0,452,0
76,4,0.004017829895019531,0,452,0
77,6,0.0039899349212646484,0,454,0
78,4,0.0049860477447509766,0,452,0
79,4,0.003957509994506836,0,452,0
80,4,0.003996849060058594,0,452,0
81,4,0.003990650177001953,0,452,0
82,6,0.003989219665527344,0,454,0
83,6,0.003984928131103516,0,454,0
84,4,0.0040247440338134766,0,452,0
85,6,0.0039899349212646484,0,454,0
86,4,0.003953456878662109,0,452,0
87,4,0.003989696502685547,0,452,0
88,6,0.003990888595581055,0,454,0
89,6,0.003988504409790039,0,454,0
90,6,0.003987789154052734,0,454,0
91,4,0.004026651382446289,0,452,0
92,4,0.003988027572631836,0,452,0
