,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.002031087875366211,0,454,0
1,6,0.0029878616333007812,0,454,0
2,6,0.0020291805267333984,0,454,0
3,6,0.0020008087158203125,0,454,0
4,6,0.0029866695404052734,0,454,0
5,6,0.0029921531677246094,0,454,0
6,4,0.0019941329956054688,0,452,0
7,4,0.0029876232147216797,0,452,0
8,4,0.0029876232147216797,0,452,0
9,4,0.0029630661010742188,0,452,0
10,6,0.0030202865600585938,0,454,0
11,6,0.001983165740966797,0,454,0
12,4,0.0029497146606445312,0,452,0
13,6,0.002992391586303711,0,454,0
14,6,0.0029942989349365234,0,454,0
15,4,0.002947092056274414,0,452,0
16,4,0.0029861927032470703,0,452,0
17,4,0.002948760986328125,0,452,0
18,4,0.0019919872283935547,0,452,0
19,6,0.0029501914978027344,0,454,0
20,6,0.0019948482513427734,0,454,0
21,4,0.0019571781158447266,0,452,0
22,4,0.003033876419067383,0,452,0
23,6,0.0029497146606445312,0,454,0
24,6,0.0020368099212646484,0,454,0
25,4,0.002949953079223633,0,452,0
26,4,0.003034353256225586,0,452,0
27,4,0.0019941329956054688,0,452,0
28,4,0.0019948482513427734,0,452,0
29,6,0.002992391586303711,0,454,0
30,4,0.002991199493408203,0,452,0
31,6,0.001997232437133789,0,454,0
32,6,0.002991914749145508,0,454,0
33,4,0.0029916763305664062,0,452,0
34,4,0.0029921531677246094,0,452,0
35,4,0.0,0,452,0
36,6,0.0,0,454,0
37,4,0.009171247482299805,0,452,0
38,6,0.0,0,454,0
39,6,0.0,0,454,0
40,6,0.009248495101928711,0,454,0
41,6,0.001994609832763672,0,454,0
42,4,0.0019943714141845703,0,452,0
43,6,0.002947092056274414,0,454,0
44,4,0.003033876419067383,0,452,0
45,6,0.001994609832763672,0,454,0
46,4,0.0019910335540771484,0,452,0
47,6,0.0029840469360351562,0,454,0
48,6,0.0029921531677246094,0,454,0
49,4,0.001993894577026367,0,452,0
50,6,0.0011076927185058594,0,454,0
51,4,0.0,0,452,0
52,6,0.00818634033203125,0,454,0
53,4,0.0021409988403320312,0,452,0
54,6,0.0,0,454,0
55,4,0.0070607662200927734,0,452,0
56,6,0.002132415771484375,0,454,0
57,6,0.0,0,454,0
58,6,0.007143497467041016,0,454,0
59,6,0.003269195556640625,0,454,0
60,4,0.0,0,452,0
61,6,0.0,0,454,0
62,4,0.0016484260559082031,0,452,0
63,4,9.465217590332031e-05,0,452,0
64,6,0.0,0,454,0
65,4,0.0082855224609375,0,452,0
66,6,0.0021300315856933594,0,454,0
67,6,0.0,0,454,0
68,4,0.005571126937866211,0,452,0
69,6,0.0022394657135009766,0,454,0
70,6,0.0,0,454,0
71,4,0.0056416988372802734,0,452,0
72,4,0.002640247344970703,0,452,0
73,6,0.0021448135375976562,0,454,0
74,6,0.00505375862121582,0,454,0
75,4,0.0030541419982910156,0,452,0
76,4,0.0021440982818603516,0,452,0
77,6,0.0,0,454,0
78,4,8.368492126464844e-05,0,452,0
79,4,0.003639698028564453,0,452,0
80,4,0.0,0,452,0
81,4,0.004129648208618164,0,452,0
82,6,0.004143476486206055,0,454,0
83,6,0.0021567344665527344,0,454,0
84,4,0.0036461353302001953,0,452,0
85,6,0.0,0,454,0
86,4,0.002140045166015625,0,452,0
87,4,0.0031464099884033203,0,452,0
88,6,0.0,0,454,0
89,6,0.005066394805908203,0,454,0
90,6,0.0,0,454,0
91,4,0.0,0,452,0
92,4,0.005189418792724609,0,452,0
93,6,0.0021331310272216797,0,454,0
94,4,0.002590179443359375,0,452,0
95,6,0.0,0,454,0
96,4,0.0021409988403320312,0,452,0
97,6,0.0021376609802246094,0,454,0
98,6,0.0,0,454,0
99,6,0.002585172653198242,0,454,0
100,6,0.0019948482513427734,0,454,0
101,4,0.0019958019256591797,0,452,0
102,6,0.0027208328247070312,0,454,0
103,4,0.0016357898712158203,0,452,0
104,6,0.0020437240600585938,0,454,0
105,4,0.0019953250885009766,0,452,0
106,6,0.0032804012298583984,0,454,0
107,4,0.0029921531677246094,0,452,0
108,4,0.002991914749145508,0,452,0
109,4,0.0030465126037597656,0,452,0
110,4,0.0029935836791992188,0,452,0
111,4,0.002002239227294922,0,452,0
112,6,0.0029430389404296875,0,454,0
113,6,0.0030188560485839844,0,454,0
114,4,0.0030515193939208984,0,452,0
115,4,0.0020456314086914062,0,452,0
116,6,0.0028214454650878906,0,454,0
117,6,0.002408266067504883,0,454,0
118,6,0.003008604049682617,0,454,0
119,6,0.003953218460083008,0,454,0
120,6,0.004033327102661133,0,454,0
121,4,0.003988504409790039,0,452,0
122,4,0.0029501914978027344,0,452,0
123,4,0.004032135009765625,0,452,0
124,4,0.002991914749145508,0,452,0
125,6,0.0026726722717285156,0,454,0
126,4,0.0029916763305664062,0,452,0
127,4,0.003034830093383789,0,452,0
128,4,0.002946615219116211,0,452,0
129,6,0.0030388832092285156,0,454,0
130,4,0.001993894577026367,0,452,0
131,6,0.0029916763305664062,0,454,0
132,4,0.0029921531677246094,0,452,0
133,4,0.0020368099212646484,0,452,0
134,6,0.0029909610748291016,0,454,0
135,4,0.0029926300048828125,0,452,0
136,6,0.0029916763305664062,0,454,0
137,6,0.0018107891082763672,0,454,0
138,4,0.004044532775878906,0,452,0
139,6,0.0031266212463378906,0,454,0
140,4,0.0021402835845947266,0,452,0
141,6,0.0,0,454,0
142,4,0.0,0,452,0
143,4,0.002263784408569336,0,452,0
144,6,0.0,0,454,0
145,4,0.004550457000732422,0,452,0
146,4,0.0047757625579833984,0,452,0
147,4,0.0,0,452,0
148,4,0.004044055938720703,0,452,0
149,4,0.0052738189697265625,0,452,0
150,4,0.0010881423950195312,0,452,0
151,6,0.0,0,454,0
152,4,0.008844852447509766,0,452,0
153,4,0.002946615219116211,0,452,0
154,4,0.0019943714141845703,0,452,0
155,4,0.0019948482513427734,0,452,0
156,6,0.002996206283569336,0,454,0
157,4,0.0029892921447753906,0,452,0
158,4,0.002990245819091797,0,452,0
159,6,0.0019965171813964844,0,454,0
160,6,0.0029947757720947266,0,454,0
161,4,0.0029840469360351562,0,452,0
162,4,0.0019969940185546875,0,452,0
