,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.004023075103759766,0,454,0
1,6,0.003987789154052734,0,454,0
2,6,0.0039899349212646484,0,454,0
3,6,0.003989696502685547,0,454,0
4,6,0.003991127014160156,0,454,0
5,6,0.003991365432739258,0,454,0
6,4,0.004986763000488281,0,452,0
7,4,0.003961086273193359,0,452,0
8,4,0.0030210018157958984,0,452,0
9,4,0.002964019775390625,0,452,0
10,6,0.003989458084106445,0,454,0
11,6,0.004018545150756836,0,454,0
12,4,0.003989219665527344,0,452,0
13,6,0.003960132598876953,0,454,0
14,6,0.003987789154052734,0,454,0
15,4,0.003986835479736328,0,452,0
16,4,0.003989696502685547,0,452,0
17,4,0.003994941711425781,0,452,0
18,4,0.004025936126708984,0,452,0
19,6,0.003987789154052734,0,454,0
