,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.003988504409790039,0,454,0
1,6,0.003989219665527344,0,454,0
2,6,0.003988742828369141,0,454,0
3,6,0.003988981246948242,0,454,0
4,6,0.003988981246948242,0,454,0
5,6,0.003989219665527344,0,454,0
6,4,0.003988981246948242,0,452,0
7,4,0.003988981246948242,0,452,0
8,4,0.003989219665527344,0,452,0
9,4,0.003988504409790039,0,452,0
10,6,0.003988742828369141,0,454,0
11,6,0.003988742828369141,0,454,0
12,4,0.0014350414276123047,0,452,0
13,6,0.00681304931640625,0,454,0
14,6,0.003988504409790039,0,454,0
15,4,0.003989219665527344,0,452,0
16,4,0.003989696502685547,0,452,0
17,4,0.003989219665527344,0,452,0
18,4,0.003989219665527344,0,452,0
19,6,0.003988742828369141,0,454,0
