,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.0,0,454,0
1,6,0.008036375045776367,0,454,0
2,6,0.0020415782928466797,0,454,0
3,6,0.0,0,454,0
4,6,0.008058547973632812,0,454,0
5,6,0.0020351409912109375,0,454,0
6,4,0.0,0,452,0
7,4,0.008035421371459961,0,452,0
8,4,0.002034902572631836,0,452,0
9,4,0.0,0,452,0
10,6,0.0,0,454,0
11,6,0.002104520797729492,0,454,0
12,4,0.0,0,452,0
13,6,0.0,0,454,0
14,6,0.002070188522338867,0,454,0
15,4,0.0,0,452,0
16,4,0.0,0,452,0
17,4,0.0020704269409179688,0,452,0
18,4,0.0,0,452,0
19,6,0.008071422576904297,0,454,0
20,6,0.0020704269409179688,0,454,0
21,4,0.0,0,452,0
22,4,0.010169267654418945,0,452,0
23,6,0.0,0,454,0
24,6,0.0,0,454,0
25,4,0.008071184158325195,0,452,0
26,4,0.0,0,452,0
27,4,0.008090972900390625,0,452,0
28,4,0.002112150192260742,0,452,0
29,6,0.0,0,454,0
30,4,0.008090496063232422,0,452,0
31,6,0.0020873546600341797,0,454,0
32,6,0.0,0,454,0
33,4,0.008095979690551758,0,452,0
34,4,0.002089262008666992,0,452,0
35,4,0.0,0,452,0
36,6,0.008087873458862305,0,454,0
37,4,0.0020873546600341797,0,452,0
38,6,0.0,0,454,0
39,6,0.010104179382324219,0,454,0
40,6,0.0,0,454,0
41,6,0.008087873458862305,0,454,0
42,4,0.002094268798828125,0,452,0
43,6,0.0,0,454,0
44,4,0.0,0,452,0
45,6,0.002088308334350586,0,454,0
46,4,0.0,0,452,0
47,6,0.008087873458862305,0,454,0
48,6,0.002087831497192383,0,454,0
49,4,0.0,0,452,0
50,6,0.008126497268676758,0,454,0
51,4,0.002088785171508789,0,452,0
52,6,0.0,0,454,0
53,4,0.00808858871459961,0,452,0
54,6,0.002070903778076172,0,454,0
55,4,0.0,0,452,0
56,6,0.008733749389648438,0,454,0
57,6,0.0020711421966552734,0,454,0
58,6,0.0,0,454,0
59,6,0.010142326354980469,0,454,0
60,4,0.0,0,452,0
61,6,0.0,0,454,0
62,4,0.010175466537475586,0,452,0
63,4,0.0,0,452,0
64,6,0.008071184158325195,0,454,0
65,4,0.002070903778076172,0,452,0
66,6,0.0,0,454,0
67,6,0.008110284805297852,0,454,0
68,4,0.0020737648010253906,0,452,0
69,6,0.0,0,454,0
70,6,0.01014089584350586,0,454,0
71,4,0.0,0,452,0
72,4,0.0,0,452,0
73,6,0.010104894638061523,0,454,0
74,6,0.0,0,454,0
75,4,0.0,0,452,0
76,4,0.010145187377929688,0,452,0
77,6,0.0,0,454,0
78,4,0.0,0,452,0
79,4,0.002070903778076172,0,452,0
80,4,0.0,0,452,0
81,4,0.0,0,452,0
