,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.0780904293060303,2,11998,0
1,21,1.03147292137146,0,12009,0
2,22,0.6613318920135498,5,12074,0
3,23,0.6332759857177734,0,12011,0
4,28,0.6427929401397705,9,12619,0
5,28,0.6992607116699219,7,12505,0
6,28,0.654320240020752,2,12001,0
7,28,0.6284983158111572,1,12012,0
8,28,0.6473114490509033,6,12023,0
9,28,0.6335957050323486,3,11990,0
10,28,0.6601521968841553,5,11994,0
11,28,0.63027024269104,0,12016,0
12,28,0.6541731357574463,2,12008,0
13,29,0.6442451477050781,1,12013,0
14,23,0.646949052810669,0,12011,0
15,29,0.6622135639190674,8,12512,0
16,23,0.6826581954956055,2,12002,0
17,23,0.6476643085479736,3,11995,0
18,23,0.6593365669250488,0,12011,0
19,23,0.6231729984283447,0,12011,0
20,23,0.6457908153533936,0,12011,0
21,23,0.6244828701019287,4,11979,0
22,23,0.8348555564880371,19,13529,0
23,23,0.6740763187408447,0,12011,0
24,22,0.6364784240722656,0,12010,0
25,23,0.6201486587524414,3,11975,0
26,23,0.6153812408447266,0,12011,0
27,23,0.6877689361572266,10,12713,0
28,23,0.6518387794494629,0,12011,0
29,23,0.6758959293365479,1,12006,0
30,23,1.016744613647461,2,12003,0
31,23,0.6501462459564209,1,12006,0
32,23,0.6680161952972412,0,12011,0
33,23,0.6437211036682129,2,12000,0
34,23,0.6233124732971191,2,11997,0
35,22,0.6635549068450928,1,12006,0
36,23,0.6706840991973877,3,11983,0
37,23,0.8047666549682617,11,13333,0
38,23,0.6761491298675537,3,11995,0
39,23,0.6465346813201904,2,12003,0
40,23,0.6833479404449463,10,12287,0
41,23,0.6292579174041748,4,11981,0
42,23,0.6658990383148193,0,12011,0
43,23,0.7276420593261719,16,12937,0
44,23,0.6621506214141846,2,11994,0
45,23,0.6589136123657227,3,12002,0
46,22,0.6909785270690918,2,12006,0
47,23,0.6471149921417236,1,12001,0
48,23,0.6664078235626221,2,11996,0
49,23,0.6540980339050293,1,12007,0
50,23,0.7480542659759521,8,12356,0
51,23,0.6313223838806152,0,12011,0
52,23,0.6029362678527832,0,12011,0
53,23,0.7012045383453369,1,12007,0
54,23,0.6149473190307617,0,12011,0
55,23,0.6399545669555664,3,11995,0
56,24,0.6779367923736572,4,11993,0
57,22,0.6419711112976074,2,11991,0
58,24,0.6535577774047852,2,12003,0
59,24,0.7934141159057617,15,13696,0
60,24,0.6450393199920654,4,12027,0
61,24,0.6605832576751709,5,11963,0
62,24,0.7259547710418701,0,12012,0
63,24,0.6631419658660889,5,12052,0
64,24,0.6508865356445312,0,12012,0
65,24,0.7274036407470703,8,12108,0
66,24,0.6773407459259033,1,12008,0
67,24,0.6750533580780029,0,12012,0
68,22,0.8395633697509766,26,14582,0
69,24,0.6695632934570312,0,12012,0
70,24,1.1201155185699463,5,12184,0
71,24,0.6260299682617188,3,11990,0
72,24,0.6604864597320557,3,12681,0
73,24,0.6432526111602783,1,12008,0
74,24,0.6609354019165039,0,12012,0
75,24,1.0134074687957764,1,12008,0
76,24,0.7300441265106201,5,11990,0
77,24,0.6523129940032959,3,12063,0
78,24,0.640265703201294,0,12012,0
79,22,0.6615502834320068,0,12010,0
80,24,0.6562397480010986,0,12012,0
81,24,0.6409194469451904,0,12012,0
82,24,0.6546764373779297,0,12012,0
83,24,0.7892920970916748,6,12689,0
84,24,0.6485004425048828,0,12012,0
85,24,0.6587095260620117,7,11958,0
86,24,0.8363909721374512,4,12096,0
87,24,0.6095192432403564,3,11986,0
88,24,0.6715254783630371,8,11948,0
89,24,0.6565029621124268,0,12012,0
90,22,0.6470189094543457,0,12010,0
91,24,0.6446070671081543,0,12012,0
92,24,0.6603505611419678,6,12107,0
93,24,0.6441340446472168,2,12001,0
94,24,0.6630129814147949,0,12012,0
95,24,0.7029459476470947,10,12736,0
96,24,0.68499755859375,2,12004,0
97,24,0.6510648727416992,3,11993,0
98,24,0.7201080322265625,7,12244,0
99,24,0.7142651081085205,7,12059,0
100,24,0.6435215473175049,0,12012,0
101,22,0.6264212131500244,0,12010,0
102,24,0.6337683200836182,1,12008,0
103,24,0.6737864017486572,1,12008,0
104,24,0.7279095649719238,0,12012,0
105,24,0.8137333393096924,0,12012,0
106,24,0.6404354572296143,0,12012,0
107,24,0.6789267063140869,4,12420,0
108,24,0.6696631908416748,0,12012,0
109,24,0.6720170974731445,2,12008,0
110,24,0.6642086505889893,0,12012,0
111,24,0.6745965480804443,8,12508,0
112,22,0.5936262607574463,0,12010,0
113,24,0.6872763633728027,5,11963,0
114,24,0.6248769760131836,5,11963,0
115,24,0.6092486381530762,1,12008,0
116,24,0.5936274528503418,1,12006,0
117,24,0.6248528957366943,4,11981,0
