,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,0.9810359477996826,1,12005,0
1,21,0.9948320388793945,0,12009,0
2,22,1.1267786026000977,12,12640,0
3,23,1.0193421840667725,0,12011,0
4,28,1.0124971866607666,1,12012,0
5,28,1.0152549743652344,3,11999,0
6,28,1.028914451599121,6,11978,0
7,28,0.9824228286743164,1,12012,0
8,28,0.984229326248169,1,12012,0
9,28,1.0215692520141602,2,12076,0
10,28,0.9822332859039307,2,12003,0
11,28,1.0108506679534912,0,12016,0
12,28,1.0312230587005615,2,12006,0
13,29,1.3477556705474854,1,12013,0
14,23,1.0170624256134033,0,12011,0
15,29,1.219879388809204,26,15088,0
16,23,1.0676207542419434,3,12279,0
17,23,1.0463571548461914,2,12003,0
18,23,0.9954934120178223,0,12011,0
19,23,1.086092233657837,0,12011,0
