,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,0.9673275947570801,2,11998,0
1,21,0.9943482875823975,0,12009,0
2,22,1.0375840663909912,6,12067,0
3,23,0.9960589408874512,0,12011,0
4,28,1.01509690284729,10,12619,0
5,28,1.104947805404663,7,12501,0
6,28,1.027510404586792,2,12001,0
7,28,0.9912643432617188,1,12012,0
8,28,1.0153555870056152,5,12035,0
9,28,1.093651294708252,3,11994,0
10,28,1.0402195453643799,40,11976,0
11,28,0.994438886642456,0,12016,0
12,28,1.0040919780731201,27,12008,0
13,29,0.986903190612793,1,12013,0
14,23,1.0137224197387695,0,12011,0
15,29,1.0779917240142822,39,12468,0
16,23,0.9846150875091553,2,12002,0
17,23,0.9897503852844238,5,12337,0
18,23,0.9675066471099854,0,12011,0
19,23,0.9931316375732422,0,12011,0
