,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.1087024211883545,6,11939,0
1,21,1.0237095355987549,0,12009,0
2,22,3.138174295425415,277,14930,0
3,23,0.9874804019927979,0,12011,0
4,28,1.3087592124938965,26,13203,0
5,28,1.6962172985076904,97,12698,0
6,28,0.9877636432647705,1,12012,0
7,28,1.0954525470733643,11,11879,0
8,28,1.2723972797393799,52,12089,0
9,28,1.1722424030303955,10,11882,0
10,28,1.0800671577453613,9,11900,0
11,28,0.9967808723449707,0,12016,0
12,28,0.9989583492279053,3,11973,0
13,29,1.1631159782409668,47,12280,0
14,23,0.9649839401245117,0,12011,0
15,29,2.312014579772949,188,14226,0
16,23,1.1803288459777832,40,12128,0
17,23,1.0539019107818604,12,11866,0
18,23,0.9895153045654297,0,12011,0
19,23,0.9793200492858887,0,12011,0
