,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,21,1.019956111907959,17,11939,0
1,21,0.9712631702423096,0,12009,0
2,22,10.833059787750244,1358,21880,0
3,23,1.0125575065612793,0,12011,0
4,28,1.8119432926177979,149,12929,0
5,28,3.706210136413574,408,13641,0
6,28,1.9510507583618164,138,12554,0
7,28,1.1531236171722412,48,12048,0
8,28,1.1457784175872803,43,11762,0
9,28,1.184091329574585,57,11956,0
10,28,1.3315486907958984,73,12226,0
11,28,1.0346179008483887,0,12016,0
12,28,1.1547350883483887,29,11973,0
13,29,1.1281232833862305,33,11863,0
14,23,0.9773678779602051,0,12011,0
15,29,2.5340938568115234,252,12571,0
16,23,1.2558457851409912,71,11884,0
17,23,1.141442060470581,40,11866,0
18,23,0.9840588569641113,0,12011,0
19,23,0.9724032878875732,0,12011,0
